type,sugar,freeSO2,totalSO2,density,pH,alcohol,quality
1,1.6,5,12,0.9958,3.34,9.2,5
1,1.4,12,96,0.9954,3.32,9.2,5
1,1.7,4,23,0.9971,3.15,9.2,5
1,2.2,8,15,0.9956,3.4,9.4,6
1,2.1,6,14,0.9955,3.39,9.4,6
1,3,30,119,0.997,3.2,9.4,5
1,2.8,33,73,0.9955,3.17,10.2,6
1,3.8,25,45,0.9978,3.34,9.5,5
1,3.4,4,10,0.9971,3.04,9.6,5
1,5.1,50,110,0.9983,3.26,9.4,5
1,2.3,17,54,0.9975,3.43,10,5
1,2.4,9,46,0.9962,3.41,9.4,6
1,2.2,19,52,0.998,3.44,9.2,5
1,1.8,20,112,0.9968,3.21,9.3,5
1,1.9,12,35,0.9968,3.38,9.5,7
1,2,13,54,0.9966,3.39,9.8,5
1,4.65,4,11,0.9962,3.41,10.9,5
1,4.65,4,11,0.9962,3.41,10.9,5
1,1.5,11,39,0.9968,3.42,9.6,5
1,1.6,6,15,0.9962,3.44,10.7,5
1,2,27,65,0.9969,3.28,10.7,5
1,1.9,8,19,0.9962,3.34,10.5,6
1,1.9,15,27,0.9967,3.32,9.5,6
1,2.1,17,96,0.9962,3.32,9.5,5
1,1.9,18,94,0.9961,3.31,9.5,5
1,2.1,11,43,0.9976,3.31,9.2,4
1,2.5,28,83,0.9984,3.28,9.6,5
1,2.2,9,42,0.9986,3.54,10.5,5
1,2.2,9,42,0.9986,3.54,10.5,5
1,2.4,14,30,0.9966,3.52,10.7,6
1,2,12,80,0.9958,3.38,10.1,5
1,1.5,27,119,0.9972,3.16,9.1,4
1,1.6,3,15,0.9958,3.41,9.2,5
1,1.9,22,67,0.9974,3.13,9.4,5
1,2,21,73,0.997,3.36,9.1,5
1,1.8,16,51,0.9969,3.16,9.4,5
1,1.8,18,61,0.9959,3.44,10.3,6
1,2.2,19,40,0.9961,3.41,10.1,5
1,1.9,20,136,0.9972,2.93,9.9,6
1,1.9,9,31,0.9966,3.39,9.6,5
1,2.1,34,125,0.9978,3.14,9.5,5
1,1.8,8,24,0.9978,3.48,9,5
1,1.9,42,140,0.9964,3.23,9.5,5
1,1.9,20,136,0.9972,2.93,9.9,6
1,2,19,133,0.9972,2.93,9.8,5
1,1.9,9,31,0.9966,3.39,9.6,5
1,1.4,41,85,0.9938,3.75,10.5,4
1,2.3,17,106,0.9932,3.85,12.9,6
1,3,8,23,0.9965,3.45,10.7,5
1,2,3,22,0.9963,3.25,9.2,5
1,2.5,5,10,0.9967,3.39,9.8,5
1,1.9,13,35,0.9972,3.3,9,6
1,2.1,11,50,0.9972,3.4,10.2,6
1,1.9,8,22,0.9959,3.31,10.4,6
1,1.9,13,35,0.9972,3.3,9,6
1,2.1,12,65,0.9967,3.29,9.2,5
1,2.2,5,36,0.996,3.33,9.4,5
1,2.1,12,65,0.9967,3.29,9.2,5
1,1.7,18,69,0.9973,3.08,9.3,5
1,1.7,15,64,0.9969,3.46,9.3,5
1,2.5,18,80,0.9976,3.37,9.6,6
1,2,37,153,0.9969,3.21,9.3,5
1,1.8,12,47,0.9964,3.19,9.5,5
1,2.2,11,108,0.9964,3.15,9.8,5
1,2.2,14,111,0.9964,3.15,9.8,5
1,2.3,22,46,0.9988,3.32,9.7,6
1,1.8,12,47,0.9964,3.19,9.5,5
1,2.2,13,62,0.9966,3.07,10.5,6
1,1.9,11,40,0.9978,3.39,10,6
1,2,7,28,0.997,3.37,9.4,6
1,2.2,14,56,0.9962,3.21,10.9,6
1,1.8,22,89,0.9959,3.34,9.2,6
1,1.7,10,89,0.9962,3.3,9,5
1,2.2,14,56,0.9962,3.21,10.9,6
1,2.5,3,13,0.998,3.49,9.2,5
1,2.6,11,34,0.9976,3.44,9.5,5
1,1.6,21,102,0.996,3.39,9.5,5
1,1.9,27,90,0.9984,3.16,9.4,5
1,1.7,3,12,0.9964,3.53,10.9,5
1,1.8,3,12,0.9964,3.54,10.9,5
1,1.8,3,16,0.9962,3.42,10.5,7
1,1.8,6,19,0.9955,3.42,9.4,5
1,2,30,134,0.9968,3.24,9.4,5
1,2.3,17,99,0.9937,3.63,13,5
1,2.3,17,99,0.9937,3.63,13,5
1,1.5,17,26,0.9952,3.4,9.8,6
1,2.2,13,29,0.9959,3.22,9.9,6
1,1.9,16,63,0.9965,3.19,9.6,5
1,1.8,10,52,0.9968,3.23,9.5,5
1,2,13,45,0.9972,3.48,9.2,5
1,2.1,15,105,0.9962,3.33,9.5,5
1,2,17,108,0.9962,3.32,9.5,5
1,1.9,16,63,0.9965,3.19,9.6,5
1,1.8,10,52,0.9968,3.23,9.5,5
1,1.8,27,63,0.9916,3.68,14,6
1,1.7,3,20,0.9954,3.34,9.4,5
1,1.8,27,63,0.9916,3.68,14,6
1,1.8,32,141,0.9968,3.17,9.4,5
1,1.8,21,94,0.9944,3.54,10,5
1,1.6,10,88,0.9968,3.11,9.3,5
1,2.3,12,30,0.9959,3.42,10.2,6
1,2.8,11,43,0.9975,3.53,10.5,6
1,2.1,5,11,0.9958,3.33,10.3,6
1,3.4,32,69,0.9996,2.74,9.4,4
1,1.8,25,99,0.995,3.35,10.1,5
1,1.8,25,99,0.995,3.35,10.1,5
1,5.5,29,129,0.9973,3.42,10.5,5
1,5.5,28,128,0.9973,3.42,10.5,5
1,5.5,29,129,0.9973,3.42,10.5,5
1,5.5,28,128,0.9973,3.42,10.5,5
1,2.2,12,22,0.9969,3.48,9.3,5
1,1.9,18,86,0.9968,3.59,9.3,6
1,2,7,20,0.9959,3.2,9.6,5
1,1.3,9,20,0.9965,3.17,9.2,4
1,1.7,17,31,0.9964,3.33,10,6
1,7.3,36,121,0.9982,3.37,9.4,5
1,7.2,35,121,0.9981,3.37,9.4,5
1,1.7,14,96,0.9961,3.19,9.5,5
1,2.1,18,101,0.9956,3.34,10.2,5
1,1.6,17,42,0.9956,3.37,9,4
1,2.1,11,44,0.9953,3.47,10.4,6
1,1.8,15,63,0.9964,3,9.5,5
1,1.8,4,8,0.9972,3.36,9.1,4
1,2,6,18,0.9972,3.29,9.2,6
1,2,6,18,0.9972,3.29,9.2,6
1,1.9,24,42,0.9961,3.42,11.5,6
1,2,7,35,0.9961,3.33,9.5,5
1,1.5,19,49,0.9958,3.35,9.5,5
1,2,7,35,0.9961,3.33,9.5,5
1,2.3,8,38,0.9972,3.58,10.5,6
1,2.5,7,20,0.9969,3.48,9.6,5
1,2.4,10,42,0.9969,3.19,9.5,5
1,2.4,10,42,0.9969,3.19,9.5,5
1,2,23,110,0.9972,3.12,9.3,5
1,2.5,16,42,0.9972,3.44,9.3,5
1,1.8,11,65,0.9971,3.54,9.3,5
1,1.9,8,62,0.997,3.52,9.3,6
1,2,26,85,0.9971,3.26,9.7,5
1,2,14,67,0.9972,3.34,9.2,5
1,2.6,9,26,0.9976,3.39,9.7,5
1,2,15,143,0.9968,3.2,9.5,5
1,1.9,17,144,0.9968,3.2,9.5,5
1,2.9,21,127,0.9976,3.23,9.4,5
1,1.9,21,49,0.9974,3.57,9.8,6
1,3.8,16,126,0.9969,3.28,9.5,5
1,2.2,7,28,0.9964,3.28,9.7,5
1,2.2,7,28,0.9964,3.28,9.7,5
1,2,24,120,0.9968,3.25,9.4,5
1,2.4,15,55,0.9968,3.46,10.2,5
1,2,12,27,0.9981,3.11,10.1,6
1,1.2,13,93,0.9924,3.57,13,7
1,2.1,12,31,0.9948,3.51,11.4,4
1,1.4,9,24,0.99695,3.22,10.3,7
1,2.1,39,145,0.9975,3.04,9.3,5
1,1.5,16,49,0.99545,3.36,9.5,5
1,1.6,16,39,0.9961,3.34,9.2,5
1,1.6,14,37,0.99615,3.34,9.2,6
1,2.6,9,28,0.9994,3.2,10.8,7
1,2.6,9,28,0.9994,3.2,10.8,7
1,1.8,26,120,0.99625,3.29,9.3,5
1,2.7,18,95,0.9966,3.22,9.4,5
1,2.1,7,19,0.998,3.31,10.5,7
1,2,5,19,0.99585,3.3,12.4,6
1,2.8,10,62,0.99685,3.35,10,6
1,2.1,5,15,0.998,3.21,10.2,6
1,2.2,28,65,0.9959,3.3,10.1,5
1,2.4,10,41,0.9974,3.24,9.8,6
1,5.6,26,121,0.9974,3.34,10.5,5
1,2,13,49,0.9962,3.14,11,5
1,2.2,11,41,0.9967,3.36,9.1,5
1,1.9,10,44,0.9957,3.39,9.7,5
1,2.4,24,144,0.99655,3.3,9.5,5
1,2,24,58,0.9964,3.34,9.4,6
1,2,16,72,0.9957,3.15,9.4,5
1,1.5,5,10,0.99525,3.42,9.5,5
1,2,8,28,0.99815,3.28,10,6
1,2,15,55,0.99745,3.31,10.4,4
1,2.6,29,63,0.99615,3.37,10.5,6
1,2,27,81,0.9964,3.04,9.5,6
1,2.6,9,23,0.9984,3.39,9.8,5
1,2.6,29,63,0.99615,3.37,10.5,6
1,2.6,10,37,0.99685,3.46,11,5
1,1.6,19,106,0.9927,3.54,12.2,7
1,1.8,12,49,0.99625,3.37,9.9,6
1,2.8,18,58,0.998,3.34,9.6,6
1,2.6,10,37,0.99685,3.46,11,5
1,2.3,7,37,0.99685,3.32,9,6
1,1.9,14,38,0.99675,3.37,9,6
1,1.9,14,38,0.99675,3.37,9,6
1,1.9,15,39,0.99675,3.37,9.2,6
1,1.9,14,38,0.99675,3.37,9,6
1,2.3,7,37,0.99685,3.32,9,6
1,1.7,5,62,0.9971,3,9.3,5
1,2.1,6,24,0.99925,3.14,10.9,6
1,1.8,28,109,0.99565,3.08,9.8,6
1,2.2,10,24,1.00005,3.07,9.2,7
1,2.2,10,24,1.00005,3.07,9.2,7
1,2,6,23,0.9983,3.61,9.9,6
1,1.9,16,51,0.99685,3.38,9.5,5
1,2.3,11,73,0.9963,3.2,9.3,5
1,1.7,9,39,0.99615,3.35,9.8,6
1,2,6,23,0.9983,3.61,9.9,6
1,1.6,16,37,0.9985,3.22,10,6
1,1.8,16,34,0.9972,3.47,9.9,6
1,3.1,5,21,0.9986,3.17,10.5,5
1,1.9,8,86,0.9959,3.23,9.5,5
1,1.8,16,34,0.9972,3.47,9.9,6
1,3.2,17,119,0.99675,3.26,9.3,5
1,2.2,5,13,0.998,3.22,9.2,5
1,2.1,12,56,0.9968,3.49,9.2,5
1,1.8,8,45,0.9968,3.06,9.4,5
1,2.6,14,33,0.99965,3.36,10.5,7
1,1.7,18,45,0.99625,3.29,9.3,5
1,2,12,67,0.99565,3.35,9.4,4
1,1.7,10,35,0.99575,3.34,10,5
1,1.8,23,49,0.9963,3.28,9.3,5
1,2.4,5,27,0.9999,3.08,10.9,5
1,1.8,6,10,0.9968,3.2,10.2,7
1,3.3,26,61,1.00025,3.6,9.8,4
1,3.6,15,37,0.9973,3.35,12.8,8
1,3,7,27,0.9987,3.69,9.4,6
1,4,4,23,0.9996,3.28,10.1,6
1,4,27,61,0.9965,3.36,10.7,6
1,4,4,23,0.9996,3.28,10.1,6
1,4,17,65,0.99935,3.22,10.1,5
1,2.4,10,38,0.99735,3.31,9.4,5
1,7,27,94,0.99915,3.38,9.4,5
1,4,27,61,0.9965,3.36,10.7,6
1,3,7,27,0.9987,3.69,9.4,6
1,4,4,23,0.9996,3.28,10.1,6
1,6.4,5,13,0.9976,3.23,12.6,8
1,5.6,10,47,0.9991,3.38,10.5,7
1,3.6,6,19,0.9986,3.12,9.3,6
1,3.5,5,10,0.9972,3.25,9.9,7
1,3,12,53,0.9971,3.36,9.1,5
1,5.6,10,47,0.9991,3.38,10.5,7
1,3.4,32,71,1.00015,3.31,9.8,5
1,3.4,32,71,1.00015,3.31,9.8,5
1,2,25,49,0.9997,3.1,10.3,6
1,3,29,53,0.9967,3.37,10.3,6
1,2.5,20,49,0.9976,3.34,10.6,7
1,3.3,33,98,1.001,3.2,9.2,5
1,2.5,20,49,0.9976,3.34,10.6,7
1,2,6,18,0.9979,3.3,10.5,5
1,2.7,18,48,0.9994,3.22,10.3,6
1,2.4,5,16,0.9964,3.41,10.1,6
1,3.2,17,53,1.0014,3.05,9.5,6
1,2.5,5,27,1.0001,3.05,9.5,5
1,2.6,26,70,0.9981,3.16,9.9,5
1,2,8,29,0.99855,3.67,9.6,5
1,2.3,5,31,0.9993,3.67,9.7,5
1,2.1,8,33,0.99845,3.68,9.6,5
1,2.6,20,44,0.9965,3.38,10.7,6
1,1.5,7,15,0.9973,3.22,10.1,6
1,2.6,12,28,0.9994,3.51,10,5
1,1.6,5,21,0.996,3.39,9.5,5
1,2.1,12,90,0.9973,3.2,9.2,5
1,2.5,6,25,0.9998,3.12,9.3,6
1,2.2,7,54,0.9966,3.36,9.4,5
1,2.4,6,14,0.9994,3.19,9.5,6
1,2.4,5,12,0.9994,3.19,9.5,6
1,1.7,9,30,0.9968,3.41,9.5,6
1,2.5,6,25,0.9998,3.12,9.3,6
1,2,15,105,0.996,3.27,9.4,6
1,2.8,19,98,0.99815,3.32,9.5,6
1,3,30,135,0.9976,3.3,9.4,5
1,2.6,26,72,0.99645,3.39,11,5
1,2.5,20,53,0.9962,3.42,11,6
1,3.4,37,92,0.9996,3.3,10.1,5
1,2.9,30,74,0.99865,3.3,10.4,6
1,3.2,21,59,0.9989,3.37,11.5,7
1,2.9,30,74,0.99865,3.3,10.4,6
1,3.2,21,59,0.9989,3.37,11.5,7
1,3.4,25,87,0.99975,3.24,9.7,5
1,2.3,6,18,0.99735,3.29,9.3,5
1,2.8,35,73,0.999,3.28,9.5,6
1,11,13,50,1.0015,3.16,9.2,6
1,11,13,50,1.0015,3.16,9.2,6
1,3.65,6,14,0.9978,3.05,11.5,7
1,4.5,5,13,0.998,3.28,11.5,5
1,2.6,6,21,1.0002,3.16,9.7,6
1,2,7,15,0.9981,3.18,9.5,5
1,2.9,10,41,0.998,3.23,12.5,6
1,2.9,10,41,0.998,3.23,12.5,6
1,3.2,21,114,0.9973,3.22,9.4,6
1,2.1,16,44,0.9958,3.13,11,5
1,2.5,17,38,0.9963,3.34,11.7,7
1,3.4,7,21,0.9992,3.17,12.2,7
1,1.9,6,16,0.9948,3.35,12.5,6
1,2.8,29,58,0.9974,3.31,10.3,5
1,3,28,99,1.0008,3.16,11.5,6
1,2.3,12,29,0.9997,3.11,9.8,7
1,2.4,10,21,1,3.12,9.2,6
1,2.7,5,18,0.9972,3.21,11.3,6
1,1.8,6,14,0.9982,3.3,9.8,6
1,1.8,6,14,0.9982,3.3,9.8,6
1,2.6,6,32,1.0006,3.12,10.7,6
1,1.9,40,63,0.9979,3.6,9.9,5
1,2.7,17,34,0.9955,3.58,12.3,7
1,3,6,15,0.9986,3.02,12,6
1,2.8,15,46,0.9979,3.11,10,6
1,2.6,11,28,0.9994,3.36,9.4,6
1,2.7,17,34,1.0004,3.28,9.9,6
1,2.6,11,26,0.9994,3.35,9.4,6
1,2.4,8,19,0.9974,3.27,9.3,5
1,4.8,23,77,1.0018,3.18,13,5
1,1.4,40.5,165,0.9912,3.25,11.9,6
1,2.4,17,32,0.9955,3.55,12.8,6
1,3,29,55,1.0001,3.26,11,5
1,2.95,12,29,0.997,3.24,11.7,7
1,3.1,10,23,1,3.15,10.4,7
1,2.6,10,41,1.001,3.17,9.8,6
1,2,14,81,0.9973,3.19,9.4,5
1,2.6,21,50,0.9982,3.37,9.9,6
1,2.5,6,37,0.9992,3.05,10,5
1,2,6,15,0.9988,2.99,10.2,5
1,5.8,7,42,1.0022,3.07,10,7
1,3.4,7,21,0.9979,3.26,11.8,6
1,5.8,7,42,1.0022,3.07,10,7
1,2.6,11,24,1,3.16,9,5
1,2.8,15,75,0.9998,3.18,9.4,5
1,2.4,6,18,0.9962,3.2,12,7
1,2.3,35,63,0.9975,3.57,9.9,5
1,1.6,11,25,0.9967,3.32,8.7,6
1,1.8,26,46,0.9967,3.32,10.6,6
1,2.2,12,72,0.9959,3.05,9.2,5
1,3.8,6,47,1.0014,3.01,10.8,6
1,4.4,6,15,0.9984,3.01,11.8,7
1,3,19,47,1.0003,3.26,11,6
1,2.4,6,18,0.9962,3.2,12,7
1,6.2,6,24,0.9988,3.11,13.3,6
1,2.5,24,60,0.9979,3.31,10.8,6
1,2,11,27,0.9974,3.21,9.4,6
1,2.9,17,43,1.0014,3.06,10,6
1,2,11,27,0.9974,3.21,9.4,6
1,2,11,27,0.9974,3.21,9.4,6
1,2.1,23,54,0.998,3.42,9.2,5
1,2.4,11,37,0.9979,3.43,9.7,6
1,2,23,48,0.9981,3.41,9.2,6
1,1.9,17,42,0.9972,3.31,9.6,6
1,1.9,23,53,0.9981,3.43,9.2,6
1,2.5,16,49,0.9982,3.19,10,7
1,1.4,12,88,0.9924,3.56,12.9,8
1,2.9,17,43,1.0014,3.06,10,6
1,2,6,26,0.998,3.18,9.5,5
1,2,13,95,0.997,3.16,9.1,5
1,2.3,6,25,0.9997,3.03,9.9,5
1,4.2,7,38,1.0004,3.22,13,7
1,7.9,68,124,0.9994,3.47,9.9,5
1,2.6,13,49,0.9988,3.18,11,6
1,2.6,13,49,0.9988,3.18,11,6
1,2.3,9,42,0.9963,3.1,9.4,5
1,7.9,68,124,0.9994,3.47,9.9,5
1,1.7,20,38,0.9949,3.29,10.8,6
1,2.6,19,64,1,3.1,10.5,6
1,2.7,10,41,0.9994,3.15,10.5,6
1,2.7,15,27,0.9974,3.26,9.1,5
1,1.4,11,25,0.9966,3.36,10.1,6
1,2.5,9,28,0.9981,3.24,10.8,6
1,3,12,30,0.9996,3.18,10.8,7
1,3.7,6,16,0.997,3.19,11.3,6
1,4.5,26,49,0.9981,3.05,9.6,4
1,2.5,26,86,0.9987,3.38,9.5,6
1,2.4,23,78,0.9987,3.38,9.5,5
1,1.9,15,77,0.9966,3.27,9.3,5
1,6.7,6,19,0.9986,3.27,11.7,7
1,2.7,24,122,0.9982,3.26,9.5,5
1,6.6,31,134,1.0014,3.32,9.3,5
1,2.2,6,20,0.997,3.26,11.7,6
1,1.9,34,124,0.9956,3.44,10.5,5
1,2,7,20,0.9996,3.24,10.4,6
1,1.8,34,52,0.9976,3.62,9.9,5
1,2.4,35,67,0.9972,3.28,11.8,7
1,2.3,32,48,0.9952,3.52,12.3,7
1,2,15,60,0.9955,3.36,10.9,5
1,2.1,6,24,0.9978,3.15,11,7
1,2,15,60,0.9955,3.36,10.9,5
1,2.3,32,48,0.9952,3.52,12.3,7
1,2.1,19,48,0.9949,3.49,11.4,6
1,1.9,6,32,0.9988,3.26,10.6,6
1,1.3,9,30,0.9978,3.24,9.3,5
1,2.4,13,35,0.9997,3.1,10.4,6
1,2.1,6,24,0.9978,3.15,11,7
1,2.2,21,66,0.9974,3.25,9.2,5
1,2.3,12,24,0.9958,3,12.8,6
1,2.3,6,18,1.0004,3.16,9.5,5
1,3.2,22,54,0.9996,3.15,9.9,6
1,2.3,6,18,1.0004,3.16,9.5,5
1,2,38,62,0.9958,3.26,10.2,6
1,3.2,6,22,0.9986,3.17,11.2,6
1,3.2,22,54,0.9996,3.15,9.9,6
1,1.5,7,50,0.9951,3.08,9.3,5
1,2.2,6,29,0.9987,2.88,9.8,8
1,2.15,7,27,0.9988,3.06,11.3,6
1,3.7,6,43,1.0032,2.95,11.2,7
1,2.7,11,19,0.9963,3.23,11.6,7
1,1.7,5,27,0.9934,3.57,12.5,7
1,2.1,6,31,0.9986,3.23,10.1,6
1,2.6,31,72,0.9996,3.1,10.5,5
1,2.1,6,16,0.9968,3.22,11.2,5
1,2,7,27,0.9967,3.2,10.2,6
1,2.8,17,35,0.9994,3.1,10.8,6
1,2.8,17,35,0.9994,3.1,10.8,6
1,1.8,9,26,0.9979,3.06,9.1,6
1,1.7,18,35,0.9968,3.44,10,6
1,2.8,5,22,0.9998,3.26,11.2,7
1,1.6,21,67,0.9952,3.5,11.1,5
1,5.2,6,19,0.9988,3.22,13.4,8
1,2.3,5,22,0.9986,3.37,10.3,5
1,2.7,29,65,0.9988,3.28,9.6,5
1,2.8,5,22,0.9998,3.26,11.2,7
1,2.2,10,47,1.0008,3.25,9,3
1,2.3,14,23,0.9976,3.35,11.3,6
1,2.6,6,19,0.9982,3.26,9.3,5
1,2.55,10,25,0.997,3.18,11.8,5
1,2.2,25,129,0.9972,3.08,9,5
1,2.1,5,15,0.9987,2.98,9.2,6
1,2.9,10,26,1.0006,3.48,9.7,5
1,2,21,51,0.9982,3.16,11.5,6
1,2.6,7,18,0.9947,3.32,14,6
1,2.1,6,21,1,3.17,9.2,6
1,1.2,36,48,0.9952,3.2,9.8,5
1,2.6,15,47,0.9996,3.05,10.6,5
1,2.4,25,52,0.997,3.2,11.4,6
1,2.6,25,68,0.9995,3.15,10.4,6
1,2.1,5,14,0.9971,3.26,10.6,5
1,1.7,10,24,0.9982,3.2,9.4,6
1,2.2,5,28,0.9988,3.14,10.2,5
1,2,6,16,0.998,3.28,9.7,5
1,1.8,6,20,0.9977,3.18,11,6
1,2.2,5,28,0.9988,3.14,10.2,5
1,2.7,6,31,0.9984,3.19,10.1,6
1,15.5,6,23,1.0026,3.12,9.2,5
1,2.8,6,17,0.9964,3.15,11.7,8
1,2.2,6,18,0.9986,3.04,9.4,5
1,2.2,7,18,0.9986,3.04,9.4,5
1,4.1,6,24,0.997,3.06,13.4,6
1,1.9,6,17,0.9976,3.17,10,5
1,1.9,6,17,0.9976,3.17,10,5
1,1.8,5,14,0.9982,3.17,10,6
1,2.8,35,67,1.0002,3.32,10.8,7
1,2.6,10,26,0.9984,3.34,10.2,6
1,2.8,24,56,0.9984,3.31,10.6,6
1,2.5,12,25,0.9952,3.34,13.3,7
1,2.6,13,27,0.995,3.32,13.4,7
1,3,23,81,1.0002,3.48,11.6,6
1,8.3,28,91,0.9952,3.44,12.1,6
1,2.6,5,16,0.9972,3.15,11,8
1,1.9,14,38,0.9984,3.43,9,6
1,2.5,43,113,0.9966,3.32,11.1,5
1,2.6,5,16,0.9972,3.15,11,8
1,3,23,81,1.0002,3.48,11.6,6
1,1.9,14,38,0.9984,3.43,9,6
1,6.55,38,76,0.999,3.17,12,7
1,6.55,38,76,0.999,3.17,12,7
1,1.9,6,24,0.9976,3.18,10.9,7
1,1.8,6,22,0.9976,3.21,10.8,7
1,2.9,10,26,0.9968,3.16,12.5,7
1,1.8,6,21,0.9976,3.25,10.8,7
1,2.3,6,13,1,3.17,9.5,6
1,2.2,26,62,0.9994,3.18,10.2,6
1,2.8,23,43,0.9986,3.04,11.4,7
1,4.6,19,43,0.9978,3.02,9.5,5
1,2.2,26,62,0.9994,3.18,10.2,6
1,2.1,15,49,0.998,3.03,9.7,6
1,2.4,6,15,0.9973,3.09,11.8,7
1,2.4,6,15,0.9973,3.09,11.8,7
1,6.1,34,151,1.001,3.31,9.3,5
1,4.3,5,14,1.001,3.25,11.9,6
1,2.1,5,16,0.9994,3.16,8.4,3
1,2.8,11,32,0.9972,3.22,11.7,6
1,2.5,39,106,0.9966,3.36,11,5
1,2.7,15,33,0.9982,3.42,10,6
1,2,16,43,0.998,3.48,9.1,5
1,2.3,47,133,0.9979,3.38,9.8,5
1,2.5,38,142,0.9978,3.22,9.4,5
1,2.4,23,116,0.9976,3.23,9.5,5
1,2.8,29,53,0.9998,3.24,9.9,5
1,2.5,39,106,0.9966,3.36,11,5
1,2.5,33,85,0.9962,3.39,11.4,6
1,2.6,32,55,0.9988,3.34,8.7,6
1,2.4,6,33,0.9974,3.09,9.4,5
1,2.1,1,28,0.999,3.41,10.3,6
1,2.7,12,42,1.0004,3.16,10.3,5
1,2.7,12,42,1.0004,3.16,10.3,5
1,2.1,15,33,0.9956,3.22,12.8,6
1,2.7,13,32,1,3.28,10,6
1,2.1,1,28,0.999,3.41,10.3,6
1,2.4,6,33,0.9974,3.09,9.4,5
1,2.1,5,13,0.9972,3.37,10.7,6
1,5.8,5,35,1.0014,3.2,12,7
1,5.15,5,17,0.9996,3.22,11.2,5
1,3.3,20,47,0.9988,3.26,9.6,5
1,6.3,5,17,0.9988,3.21,11,6
1,2.1,5,20,0.9966,3.12,9.9,5
1,2.5,16,53,0.9993,3.06,11,6
1,1.8,6,15,1.0008,2.86,8.4,6
1,2.6,38,106,0.9982,3.08,9.1,5
1,2,10,28,0.9983,3.45,9.5,6
1,2.5,6,21,0.9987,3.26,10.7,6
1,2.6,27,69,0.9994,3.12,10.4,6
1,1.9,6,25,0.9975,3.27,9.4,6
1,2.1,9,25,0.9958,3.33,9.5,6
1,2.8,14,45,0.998,3.19,10,6
1,2.7,14,44,0.998,3.12,10,6
1,1.6,32,96,0.9934,3.74,11.5,5
1,4.2,10,23,1.00315,2.92,11.1,5
1,4.2,10,23,1.00315,2.92,11.1,5
1,4.6,10,17,1.0002,3.07,11.7,6
1,4.2,10,23,1.00315,2.92,11.1,5
1,4.6,10,17,1.0002,3.07,11.7,6
1,4.3,6,47,1.0021,3.3,12.7,6
1,2.8,5,19,0.9994,3.14,11.4,5
1,2.4,26,121,0.9978,3.23,9.2,5
1,2.9,41,110,0.9982,3.08,9.2,5
1,2.7,25,60,0.9971,3.31,10.1,6
1,4.3,6,47,1.0021,3.3,12.7,6
1,2.8,5,19,0.9994,3.14,11.4,5
1,2.5,5,15,0.9991,3.32,9,6
1,2.5,5,15,0.9991,3.32,9,6
1,2.6,5,20,0.999,3.31,10.7,6
1,2.2,19,42,0.9946,3.57,11.7,6
1,3.3,10,37,1.0003,3.32,11,6
1,2.2,19,42,0.9946,3.57,11.7,6
